obs_id,code,irai_theme,country,iso3,year,verified_value,data_source,indicator_name,indicator_type,variant,variant_type,query
1,AI_Pubs,Transparency,Afghanistan,AFG,2010,1.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Afghanistan in 2010? Please provide a specific numeric value if the information is available to you."
1,AI_Pubs,Transparency,Afghanistan,AFG,2010,1.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Afghanistan's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Afghanistan and the regional average if the information is available to you."
1,AI_Pubs,Transparency,Afghanistan,AFG,2010,1.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Afghanistan in 2010? Please provide a specific numeric value if the information is available to you."
2,AI_Pubs,Transparency,Albania,ALB,2010,2.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Albania in 2010? Please provide a specific numeric value if the information is available to you."
2,AI_Pubs,Transparency,Albania,ALB,2010,2.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Albania's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Albania and the regional average if the information is available to you."
2,AI_Pubs,Transparency,Albania,ALB,2010,2.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Albania in 2010? Please provide a specific numeric value if the information is available to you."
3,AI_Pubs,Transparency,Algeria,DZA,2010,126.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Algeria in 2010? Please provide a specific numeric value if the information is available to you."
3,AI_Pubs,Transparency,Algeria,DZA,2010,126.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Algeria's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Algeria and the regional average if the information is available to you."
3,AI_Pubs,Transparency,Algeria,DZA,2010,126.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Algeria in 2010? Please provide a specific numeric value if the information is available to you."
4,AI_Pubs,Transparency,Argentina,ARG,2010,67.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Argentina in 2010? Please provide a specific numeric value if the information is available to you."
4,AI_Pubs,Transparency,Argentina,ARG,2010,67.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Argentina's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Argentina and the regional average if the information is available to you."
4,AI_Pubs,Transparency,Argentina,ARG,2010,67.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Argentina in 2010? Please provide a specific numeric value if the information is available to you."
5,AI_Pubs,Transparency,Armenia,ARM,2010,2.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Armenia in 2010? Please provide a specific numeric value if the information is available to you."
5,AI_Pubs,Transparency,Armenia,ARM,2010,2.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Armenia's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Armenia and the regional average if the information is available to you."
5,AI_Pubs,Transparency,Armenia,ARM,2010,2.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Armenia in 2010? Please provide a specific numeric value if the information is available to you."
6,AI_Pubs,Transparency,Australia,AUS,2010,2118.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Australia in 2010? Please provide a specific numeric value if the information is available to you."
6,AI_Pubs,Transparency,Australia,AUS,2010,2118.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Australia's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Australia and the regional average if the information is available to you."
6,AI_Pubs,Transparency,Australia,AUS,2010,2118.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Australia in 2010? Please provide a specific numeric value if the information is available to you."
7,AI_Pubs,Transparency,Austria,AUT,2010,172.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Austria in 2010? Please provide a specific numeric value if the information is available to you."
7,AI_Pubs,Transparency,Austria,AUT,2010,172.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Austria's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Austria and the regional average if the information is available to you."
7,AI_Pubs,Transparency,Austria,AUT,2010,172.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Austria in 2010? Please provide a specific numeric value if the information is available to you."
8,AI_Pubs,Transparency,Azerbaijan,AZE,2010,6.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Azerbaijan in 2010? Please provide a specific numeric value if the information is available to you."
8,AI_Pubs,Transparency,Azerbaijan,AZE,2010,6.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Azerbaijan's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Azerbaijan and the regional average if the information is available to you."
8,AI_Pubs,Transparency,Azerbaijan,AZE,2010,6.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,3,contextual,"You are providing data support for an AI governance analysis. A researcher is preparing a cross-national assessment of Transparency indicators. According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Azerbaijan in 2010? Please provide a specific numeric value if the information is available to you."
9,AI_Pubs,Transparency,Bahrain,BHR,2010,9.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,1,direct_numeric,"According to the Stanford AI Index (via Scopus), what was the total number of AI publications for Bahrain in 2010? Please provide a specific numeric value if the information is available to you."
9,AI_Pubs,Transparency,Bahrain,BHR,2010,9.0,the Stanford AI Index (via Scopus),the total number of AI publications,continuous,2,comparative,"According to the Stanford AI Index (via Scopus), how did Bahrain's total number of AI publications in 2010 compare to the average for its geographic region? Please provide specific numeric values for Bahrain and the regional average if the information is available to you."
